student_id,course_id,grade,enrollment_date
1580,53,DC,12-03-2026
1359,33,CB,11-11-2026
1664,84,DD,27-10-2026
489,83,AA,25-02-2026
1246,76,AA,27-12-2026
1378,25,BA,22-01-2026
1635,1,AA,04-05-2026
13,13,DC,08-12-2026
1772,79,CB,23-03-2026
807,91,DC,16-10-2026
1292,64,DD,09-11-2026
1243,32,BB,21-02-2026
612,98,Fail,03-02-2026
1037,65,AA,22-06-2026
429,4,AA,20-04-2026
811,100,AA,25-05-2026
1732,67,CB,10-08-2026
1797,92,AA,11-04-2026
1993,95,DC,30-12-2026
119,65,Fail,19-01-2026
985,91,DC,28-01-2026
1380,81,DC,30-05-2026
748,27,BB,23-12-2026
1397,12,CC,03-11-2026
496,13,AA,26-10-2026
1587,35,BA,18-11-2026
8,86,BA,18-07-2026
1909,7,BA,15-01-2026
104,100,CB,18-01-2026
1217,5,DD,23-01-2026
1669,81,AA,19-12-2026
974,23,AA,21-07-2026
991,29,BB,24-08-2026
1187,7,CC,05-02-2026
1443,67,CC,16-11-2026
693,94,DD,16-07-2026
1621,5,Fail,30-07-2026
1682,29,CB,23-01-2026
1100,25,DD,31-05-2026
909,68,BA,30-11-2026
1635,12,BB,05-12-2026
1646,52,BA,07-10-2026
1372,59,DD,19-07-2026
173,90,AA,12-12-2026
947,57,BB,08-05-2026
1456,48,BA,04-02-2026
1348,95,AA,26-05-2026
790,86,AA,20-09-2026
1103,100,BB,20-09-2026
999,98,CB,23-06-2026
1134,99,BA,13-08-2026
1875,48,Fail,14-06-2026
221,79,CC,07-07-2026
1892,62,BB,04-06-2026
1691,47,BB,13-04-2026
711,20,CC,13-01-2026
1849,32,DD,20-12-2026
1422,77,CC,07-06-2026
948,87,BA,30-07-2026
938,78,Fail,06-11-2026
1992,26,Fail,18-11-2026
635,77,BB,15-06-2026
854,82,BB,10-12-2026
1839,69,DD,25-03-2026
910,59,CC,15-07-2026
476,54,BA,06-07-2026
271,4,CB,02-05-2026
559,79,DD,28-05-2026
1559,43,BA,23-12-2026
652,44,DC,03-08-2026
1727,24,DD,27-01-2026
716,99,Fail,09-09-2026
690,52,DD,18-03-2026
1225,74,Fail,18-04-2026
230,47,CB,03-07-2026
715,64,BA,17-12-2026
459,2,AA,18-01-2026
297,27,CB,13-09-2026
1974,25,Fail,17-04-2026
1351,85,DC,27-09-2026
1530,47,DD,11-06-2026
266,65,AA,22-07-2026
326,99,DD,14-01-2026
557,98,AA,23-10-2026
1219,6,AA,04-11-2026
850,47,DD,14-02-2026
556,37,Fail,09-05-2026
345,43,BA,11-04-2026
1736,3,CB,21-03-2026
1278,60,AA,26-04-2026
456,21,BB,24-01-2026
27,6,BA,15-08-2026
960,18,Fail,13-08-2026
68,97,CC,12-12-2026
1979,39,Fail,18-08-2026
1227,61,DC,06-03-2026
1607,26,AA,17-03-2026
391,98,CC,02-04-2026
591,96,BA,05-11-2026
1535,25,CC,21-10-2026
1139,55,CB,18-12-2026
1255,4,DD,19-09-2026
1037,45,BB,30-06-2026
1469,58,Fail,13-11-2026
1922,25,Fail,21-04-2026
1999,13,CC,02-12-2026
1230,45,BB,15-06-2026
1166,24,AA,04-05-2026
1467,90,BB,25-08-2026
370,40,CB,02-11-2026
1535,6,Fail,22-07-2026
1912,95,DC,20-03-2026
1712,16,CC,25-12-2026
776,25,CC,22-09-2026
382,47,DC,07-01-2027
1879,87,AA,20-05-2026
1171,94,BA,16-09-2026
650,46,DD,27-08-2026
282,70,BB,26-05-2026
1856,50,DC,23-12-2026
908,9,BB,29-10-2026
300,24,BB,18-10-2026
1719,27,BA,26-08-2026
362,64,CB,22-11-2026
560,42,BA,22-01-2026
1202,88,DD,23-08-2026
307,77,BA,23-08-2026
130,6,DD,14-09-2026
1312,65,CB,11-06-2026
231,13,BA,21-04-2026
153,26,DD,21-06-2026
1461,54,DC,19-05-2026
1807,73,DD,05-08-2026
1185,41,BB,03-05-2026
134,51,Fail,27-12-2026
801,99,DC,09-08-2026
1874,59,Fail,09-10-2026
36,24,DD,30-09-2026
1090,46,BA,04-03-2026
1044,31,CC,23-10-2026
959,23,AA,17-07-2026
676,43,CB,15-05-2026
1194,91,BB,08-11-2026
280,95,CB,05-07-2026
618,95,BB,14-10-2026
737,60,CB,04-10-2026
840,80,BA,29-08-2026
1537,61,CB,17-10-2026
691,94,DC,07-12-2026
1855,51,DC,22-07-2026
1258,32,DC,23-08-2026
495,94,CC,11-06-2026
1132,65,DD,19-02-2026
749,29,CB,17-05-2026
395,89,AA,08-11-2026
1288,90,Fail,19-06-2026
246,30,CC,17-07-2026
1026,26,AA,19-12-2026
626,98,BB,08-03-2026
356,2,CB,02-04-2026
203,14,DC,06-09-2026
512,58,Fail,27-09-2026
1295,69,CB,25-01-2026
1362,18,Fail,30-03-2026
1670,91,BB,31-10-2026
1908,54,AA,18-11-2026
1424,33,BB,11-09-2026
1335,95,DD,02-07-2026
318,74,AA,28-05-2026
697,97,DD,25-10-2026
867,77,BB,26-07-2026
833,65,BA,19-02-2026
690,12,Fail,24-09-2026
1409,74,Fail,25-12-2026
1898,87,BA,12-02-2026
457,45,BB,27-09-2026
127,90,CB,17-03-2026
1929,13,Fail,14-04-2026
1694,22,DC,16-08-2026
186,80,DD,15-02-2026
398,21,BA,01-03-2026
1512,61,CC,27-11-2026
1467,8,CC,26-01-2026
472,47,DC,15-06-2026
1626,69,CB,17-02-2026
1990,92,BA,11-01-2026
1436,48,AA,13-10-2026
212,29,CC,29-01-2026
1558,95,DC,28-03-2026
330,59,DC,17-01-2026
1761,45,CB,15-05-2026
419,11,CB,29-01-2026
732,9,BB,27-02-2026
1342,40,DC,02-12-2026
1666,85,BA,21-04-2026
592,70,DD,29-10-2026
975,12,BA,12-02-2026
1508,43,BA,29-01-2026
1260,26,CB,10-12-2026
731,79,DD,30-10-2026
1147,52,CC,26-05-2026
1437,37,BB,16-01-2026
1739,28,BA,20-09-2026
598,56,DD,22-10-2026
1736,33,DD,28-03-2026
373,12,Fail,09-03-2026
1322,90,CB,01-08-2026
1853,17,BB,23-03-2026
907,61,BA,20-08-2026
123,70,AA,30-08-2026
1780,72,DD,08-05-2026
155,20,DD,24-06-2026
1838,70,DD,08-03-2026
1778,23,DD,01-09-2026
1762,19,DC,10-01-2026
523,23,BA,19-01-2026
1895,95,DD,09-01-2026
1423,68,BA,29-01-2026
603,6,DC,10-04-2026
1331,1,CC,12-07-2026
203,28,BA,12-11-2026
128,50,AA,11-07-2026
1673,44,BA,27-04-2026
1482,31,CB,16-01-2026
987,64,DC,10-12-2026
1720,93,BA,11-06-2026
774,42,CC,10-03-2026
1942,4,AA,24-06-2026
1454,81,BA,24-01-2026
745,5,DD,28-10-2026
428,51,Fail,13-05-2026
1227,38,Fail,23-04-2026
1339,28,DD,01-02-2026
681,71,BB,07-09-2026
255,17,Fail,18-04-2026
1796,20,BA,16-07-2026
569,68,DD,13-12-2026
1236,1,BA,30-09-2026
269,37,Fail,15-10-2026
1076,11,CC,03-07-2026
552,1,BA,29-11-2026
1787,50,AA,16-02-2026
221,73,Fail,30-11-2026
1922,87,DC,21-07-2026
608,42,BB,20-05-2026
472,2,Fail,18-05-2026
1125,47,DC,20-10-2026
1680,48,Fail,04-02-2026
541,56,CC,31-07-2026
1560,1,CB,21-07-2026
1249,51,DC,27-09-2026
396,54,BA,01-04-2026
1985,37,DC,06-02-2026
133,41,DD,17-09-2026
59,37,BA,13-05-2026
378,1,CC,26-07-2026
1350,58,CC,20-12-2026
1617,21,BA,23-04-2026
1895,19,CB,18-02-2026
716,69,BB,28-04-2026
393,4,DD,08-02-2026
588,57,BA,25-12-2026
1789,66,AA,31-10-2026
143,93,DD,13-12-2026
1231,79,DC,09-06-2026
273,58,BA,19-11-2026
444,18,DD,22-12-2026
941,47,BB,26-04-2026
425,60,BA,12-01-2026
385,38,BA,02-07-2026
1179,65,CB,29-03-2026
309,35,BB,05-11-2026
140,73,AA,23-07-2026
1643,39,Fail,26-08-2026
1087,35,BA,12-10-2026
581,65,BB,31-05-2026
861,64,CC,15-08-2026
1917,77,CC,26-12-2026
1535,12,DC,08-08-2026
1900,94,CB,31-01-2026
1028,36,DC,24-03-2026
1049,44,DC,09-05-2026
733,93,DD,15-04-2026
1754,12,AA,28-10-2026
1990,53,DC,04-09-2026
1759,90,DD,21-02-2026
1975,37,AA,02-12-2026
160,4,DC,22-01-2026
854,53,DD,10-04-2026
60,59,BA,11-02-2026
212,73,BB,17-12-2026
1815,60,CC,20-01-2026
497,10,DC,09-01-2026
850,12,CB,15-07-2026
1572,64,AA,09-12-2026
790,91,Fail,20-05-2026
1941,47,BB,28-08-2026
472,83,DD,04-08-2026
324,32,BA,13-02-2026
1772,42,DD,31-07-2026
222,51,BA,24-07-2026
1588,70,AA,14-05-2026
588,42,CC,01-07-2026
692,45,DD,14-06-2026
1940,31,DC,05-01-2027
1364,42,DD,01-01-2027
314,4,Fail,17-01-2026
1555,71,BA,01-01-2027
9,20,Fail,31-12-2026
1422,93,BA,24-09-2026
42,95,Fail,04-02-2026
1340,70,CB,16-04-2026
862,96,DD,04-11-2026
1454,13,BB,29-01-2026
1161,79,CB,05-02-2026
385,36,Fail,02-02-2026
1444,4,CB,06-07-2026
1308,33,DC,05-05-2026
1395,90,AA,10-09-2026
1623,43,DD,20-01-2026
886,64,CC,19-08-2026
833,17,BB,20-06-2026
1685,9,CB,12-05-2026
1911,73,DC,01-12-2026
379,85,BA,17-08-2026
562,75,Fail,27-04-2026
1468,34,BA,21-02-2026
403,18,BA,18-04-2026
813,9,DC,19-05-2026
868,37,Fail,22-07-2026
700,91,BB,03-02-2026
274,79,Fail,15-02-2026
1759,66,DC,16-05-2026
1334,75,DC,27-10-2026
479,76,DD,27-11-2026
1752,38,DC,23-05-2026
1024,58,AA,13-06-2026
1990,40,CB,19-06-2026
118,1,CC,01-09-2026
1178,65,Fail,27-10-2026
743,79,BA,06-06-2026
497,18,CB,06-03-2026
498,59,CC,12-09-2026
891,32,BA,30-07-2026
667,97,DD,18-10-2026
1419,93,BA,25-11-2026
983,30,DD,08-06-2026
1075,54,BA,24-11-2026
1015,66,DD,15-09-2026
878,79,AA,03-05-2026
1129,47,Fail,05-09-2026
1427,100,DC,05-11-2026
1685,35,DD,03-10-2026
434,83,CB,07-06-2026
1635,38,CC,30-07-2026
1504,72,BA,23-06-2026
557,1,CC,20-10-2026
1941,38,DD,11-12-2026
600,43,Fail,01-10-2026
1571,79,DD,31-07-2026
1048,80,CC,05-11-2026
1889,80,BB,18-12-2026
127,66,AA,14-01-2026
1461,38,CC,30-10-2026
849,51,DD,03-09-2026
1877,28,DC,12-07-2026
851,98,CB,17-09-2026
303,54,DC,26-01-2026
652,19,CB,23-06-2026
83,18,CC,03-07-2026
410,57,Fail,17-03-2026
131,34,CB,20-04-2026
1332,61,Fail,14-08-2026
1009,83,CB,09-11-2026
1816,94,CC,30-06-2026
1599,66,DC,03-06-2026
1824,50,CB,09-09-2026
791,66,CB,15-11-2026
504,69,AA,08-08-2026
847,9,Fail,07-07-2026
305,90,DD,27-05-2026
1946,93,DC,01-01-2027
370,5,AA,25-09-2026
1911,11,CB,01-05-2026
1929,64,CC,13-09-2026
274,24,BA,10-03-2026
1937,34,CB,06-06-2026
250,88,DD,31-01-2026
1118,38,BA,09-07-2026
1489,67,CB,21-11-2026
1381,31,AA,11-02-2026
863,61,AA,01-04-2026
479,94,CC,19-06-2026
1942,17,CB,26-06-2026
1365,6,DC,30-07-2026
909,72,DC,17-12-2026
645,5,AA,25-11-2026
144,9,CC,12-12-2026
275,6,AA,26-12-2026
1045,38,DC,25-11-2026
1402,8,AA,24-10-2026
1660,81,BA,03-11-2026
1610,14,DD,10-04-2026
89,54,CB,27-09-2026
1192,67,BA,03-05-2026
345,26,CB,19-03-2026
1017,75,BB,28-03-2026
831,71,DC,08-04-2026
1981,90,CB,09-04-2026
1244,79,DC,06-03-2026
1186,58,AA,26-10-2026
1,81,DD,22-12-2026
907,70,AA,12-01-2026
998,67,CC,15-09-2026
35,28,CC,13-05-2026
1647,61,CB,28-06-2026
319,20,CC,29-06-2026
1325,26,DC,26-06-2026
1172,90,BA,09-12-2026
677,35,Fail,26-05-2026
950,58,CB,04-07-2026
1989,90,Fail,25-11-2026
29,69,DD,02-07-2026
1797,15,CB,09-07-2026
1449,63,BA,17-07-2026
1127,76,DC,04-10-2026
879,52,AA,06-03-2026
1081,7,CC,17-03-2026
1342,42,CC,14-07-2026
1034,34,BA,23-08-2026
629,12,CB,08-03-2026
1727,36,CB,01-08-2026
394,57,DC,24-08-2026
216,85,BA,04-08-2026
546,6,CB,09-06-2026
372,69,DD,02-02-2026
651,34,CB,13-12-2026
654,25,Fail,27-02-2026
1251,60,DD,19-09-2026
125,35,CC,02-01-2027
381,29,BA,02-05-2026
351,90,DD,26-12-2026
1486,94,BB,21-05-2026
635,97,AA,28-07-2026
1653,54,DD,09-08-2026
1320,44,Fail,25-12-2026
334,71,CC,27-07-2026
648,99,BB,26-02-2026
87,78,Fail,10-08-2026
1490,76,DC,27-12-2026
1594,88,BB,06-10-2026
1544,63,CC,07-11-2026
1200,56,BB,21-01-2026
1470,12,Fail,16-06-2026
1217,26,CB,10-08-2026
1428,80,CC,03-07-2026
1379,16,AA,23-01-2026
895,24,CC,22-12-2026
953,85,BB,31-07-2026
670,3,BA,20-07-2026
1643,13,CC,24-05-2026
1643,46,CC,05-08-2026
398,31,BB,15-07-2026
1385,96,AA,01-12-2026
4,8,AA,21-12-2026
170,74,BB,18-04-2026
610,90,BB,09-09-2026
1208,77,DC,10-05-2026
1290,39,CB,02-12-2026
268,71,BB,28-05-2026
1853,42,BB,18-03-2026
1750,64,CC,03-05-2026
1339,68,DC,19-04-2026
1833,58,DD,31-01-2026
889,12,CB,12-04-2026
1214,23,CC,22-06-2026
553,87,AA,24-10-2026
832,71,Fail,19-11-2026
1659,37,CC,08-01-2027
247,96,CC,10-12-2026
1813,38,CB,04-02-2026
420,5,CB,10-05-2026
1334,32,CC,16-10-2026
1930,37,AA,12-08-2026
197,9,DD,03-08-2026
520,76,BA,18-03-2026
1708,32,CC,16-09-2026
480,94,DC,22-11-2026
1020,72,AA,14-04-2026
1738,58,CB,25-08-2026
1978,62,DC,30-06-2026
903,14,BB,23-01-2026
1185,71,Fail,22-08-2026
490,55,CB,25-12-2026
1444,5,BA,11-03-2026
1530,18,CC,03-04-2026
179,17,DD,10-09-2026
754,22,Fail,29-10-2026
431,9,CB,27-06-2026
115,98,CC,22-06-2026
159,60,BA,09-03-2026
1098,80,DC,03-03-2026
972,91,CB,24-04-2026
1102,17,DC,01-08-2026
663,43,BA,23-08-2026
1951,11,BA,21-11-2026
107,45,CB,04-04-2026
574,9,BB,13-05-2026
1068,86,DC,13-09-2026
766,52,CB,11-09-2026
1158,95,BA,02-04-2026
1437,45,CB,05-12-2026
531,52,Fail,30-04-2026
700,2,CB,17-11-2026
718,97,CC,03-07-2026
38,80,BB,16-02-2026
1077,62,DD,03-02-2026
832,90,CC,23-01-2026
1769,75,CC,02-10-2026
756,41,BA,19-11-2026
1626,93,CB,08-05-2026
1322,46,CC,03-09-2026
1648,87,Fail,21-12-2026
7,89,BB,26-06-2026
546,93,BB,18-07-2026
47,56,DC,23-08-2026
54,2,CC,01-01-2027
24,60,BB,06-02-2026
