student_id,course_id,grade,enrollment_date
1632,41,BB,11-11-2026
1764,35,CB,26-10-2026
1973,76,DD,04-08-2026
227,89,BB,04-11-2026
1015,89,BA,06-05-2026
1925,2,DC,05-05-2026
1798,39,Fail,10-02-2026
1655,58,DC,19-01-2026
1207,78,BA,08-02-2026
1201,52,AA,31-03-2026
268,3,BB,07-05-2026
119,72,DD,09-01-2026
122,27,DC,15-07-2026
268,80,AA,04-07-2026
850,28,CC,16-09-2026
868,53,BA,07-09-2026
796,64,BA,28-11-2026
1661,32,AA,28-08-2026
1163,3,BA,06-03-2026
721,7,BA,03-11-2026
380,73,BB,13-03-2026
1053,58,DC,23-02-2026
202,14,AA,19-05-2026
1954,5,BB,26-04-2026
1242,89,BB,15-01-2026
1265,60,CB,17-11-2026
509,41,CB,23-05-2026
506,46,DD,02-01-2027
650,53,BB,21-07-2026
1540,40,DD,02-01-2027
1825,1,DD,13-02-2026
1983,36,DC,09-09-2026
1184,78,AA,27-12-2026
1307,51,DC,04-06-2026
410,13,CC,04-05-2026
1766,8,Fail,30-01-2026
810,68,AA,09-12-2026
1545,98,Fail,10-11-2026
509,82,BB,30-10-2026
486,65,CC,18-12-2026
1586,62,DD,30-08-2026
1250,24,AA,27-02-2026
928,74,BB,29-10-2026
882,60,BB,05-08-2026
910,10,DD,14-08-2026
486,26,CC,05-06-2026
1040,30,CC,29-07-2026
1147,26,BB,08-10-2026
172,83,BA,06-09-2026
1733,16,Fail,08-05-2026
1017,16,CB,07-01-2027
317,68,DC,04-03-2026
168,87,BA,19-07-2026
909,31,CB,11-06-2026
1420,71,Fail,13-02-2026
183,51,Fail,31-01-2026
278,3,Fail,29-03-2026
1532,71,BA,05-07-2026
33,28,CC,03-02-2026
1567,65,CB,22-08-2026
1236,1,CB,18-10-2026
1027,51,Fail,13-07-2026
94,9,DD,06-01-2027
666,81,CC,13-11-2026
26,27,DD,08-06-2026
114,45,BA,21-07-2026
373,39,CC,28-09-2026
767,38,CC,28-07-2026
249,16,DD,21-09-2026
312,49,Fail,25-07-2026
223,46,CC,24-06-2026
1350,22,AA,31-03-2026
1017,20,CB,28-12-2026
436,35,Fail,16-01-2026
1541,52,CB,01-06-2026
1008,53,Fail,20-09-2026
651,74,DD,10-01-2026
674,4,CB,23-04-2026
482,79,DC,02-02-2026
379,14,CB,06-10-2026
578,37,AA,07-11-2026
547,27,CB,28-09-2026
1557,73,CC,01-06-2026
975,25,CB,21-07-2026
1709,31,DD,26-08-2026
1644,96,DD,11-07-2026
409,14,CB,02-04-2026
328,27,CB,09-04-2026
921,100,AA,27-06-2026
1816,61,DC,21-04-2026
1482,19,CC,08-02-2026
852,83,BB,18-02-2026
1641,34,BB,26-07-2026
871,88,AA,28-02-2026
273,99,Fail,20-09-2026
293,61,AA,22-09-2026
895,70,Fail,18-01-2026
1823,61,BA,25-12-2026
888,54,CB,14-03-2026
1498,31,DD,11-07-2026
885,47,CC,25-11-2026
561,30,DC,01-11-2026
4,100,BA,02-12-2026
1993,47,Fail,08-01-2027
590,69,AA,23-09-2026
1999,41,AA,10-10-2026
1160,76,CC,18-09-2026
1758,51,BA,17-06-2026
1812,89,BA,06-01-2027
1707,89,BB,05-08-2026
749,22,BB,11-12-2026
362,91,DC,06-01-2027
775,87,CC,31-12-2026
301,50,DD,28-03-2026
1025,20,DD,05-12-2026
429,93,BA,29-01-2026
1446,69,BA,20-01-2026
705,95,AA,15-06-2026
